food_id,name,query,selected_fdc_id,selected_dataset,selected_description,selected_score,selection,review_note,top_candidates,imputed_fields
U001,Brown rice,rice brown cooked,169704,sr_legacy,"Rice, brown, long-grain, cooked (Includes foods for USDA's Food Distribution Program)",999.0,manual_override,,"169704 [sr_legacy] Rice, brown, long-grain, cooked (Includes foods for USDA's Food Distribution Program) || 172026 [sr_legacy] Pasta, gluten-free, brown rice flour, cooked, TINKYADA || 168875 [sr_legacy] Rice, brown, medium-grain, cooked (Includes foods for USDA's Food Distribution Program) || 2708409 [survey] Rice, brown, cooked, NS as to fat || 2708414 [survey] Rice, brown, cooked, no added fat || 2710789 [survey] Rice, brown, cooked, as ingredient || 2708411 [survey] Rice, brown, cooked, made with butter || 2708430 [survey] Rice, brown and wild, cooked, fat added",added_sugar_g
U002,Oatmeal,oats oatmeal cooked,173905,sr_legacy,"Cereals, oats, regular and quick, unenriched, cooked with water (includes boiling and microwaving), without salt",999.0,manual_override,,"173905 [sr_legacy] Cereals, oats, regular and quick, unenriched, cooked with water (includes boiling and microwaving), without salt || 168873 [sr_legacy] Oat bran, cooked || 171675 [sr_legacy] Cereals, oats, regular and quick and instant, unenriched, cooked with water (includes boiling and microwaving), with salt || 2708444 [survey] Oat bran cereal, cooked || 173576 [sr_legacy] Oil, oat || 168872 [sr_legacy] Oat bran, raw || 172676 [sr_legacy] Bread, oat bran || 172666 [sr_legacy] Bagels, oat bran",added_sugar_g
U003,Whole wheat bread,bread whole wheat,172688,sr_legacy,"Bread, whole-wheat, commercially prepared",999.0,manual_override,,"172688 [sr_legacy] Bread, whole-wheat, commercially prepared || 174091 [sr_legacy] Bread, french or vienna, whole wheat || 172690 [sr_legacy] Bread, whole-wheat, prepared from recipe || 172691 [sr_legacy] Bread, whole-wheat, prepared from recipe, toasted || 172689 [sr_legacy] Bread, whole-wheat, commercially prepared, toasted || 174076 [sr_legacy] Bread, paratha, whole wheat, commercially prepared, frozen || 174077 [sr_legacy] Bread, naan, whole wheat, commercially prepared, refrigerated || 174075 [sr_legacy] Bread, chapati or roti, whole wheat, commercially prepared, frozen",added_sugar_g
U004,White rice,rice white cooked,168882,sr_legacy,"Rice, white, short-grain, enriched, cooked",2.25,automatic_ranked_candidate,,"168882 [sr_legacy] Rice, white, short-grain, enriched, cooked || 169711 [sr_legacy] Rice, white, glutinous, unenriched, cooked || 168880 [sr_legacy] Rice, white, medium-grain, enriched, cooked || 168932 [sr_legacy] Rice, white, short-grain, cooked, unenriched || 168930 [sr_legacy] Rice, white, medium-grain, cooked, unenriched || 168878 [sr_legacy] Rice, white, long-grain, regular, enriched, cooked || 169708 [sr_legacy] Rice, white, long-grain, parboiled, enriched, cooked || 169759 [sr_legacy] Rice, white, long-grain, parboiled, unenriched, cooked",fiber_g;added_sugar_g
U005,Broccoli,broccoli cooked,169967,sr_legacy,"Broccoli, cooked, boiled, drained, without salt",999.0,manual_override,,"169967 [sr_legacy] Broccoli, cooked, boiled, drained, without salt || 169392 [sr_legacy] Broccoli, chinese, cooked || 168510 [sr_legacy] Broccoli, cooked, boiled, drained, with salt || 168512 [sr_legacy] Broccoli, frozen, spears, cooked, boiled, drained, with salt || 168511 [sr_legacy] Broccoli, frozen, chopped, cooked, boiled, drained, with salt || 170380 [sr_legacy] Broccoli, frozen, spears, cooked, boiled, drained, without salt || 169969 [sr_legacy] Broccoli, frozen, chopped, cooked, boiled, drained, without salt || 321618 [foundation] Broccoli, cooked (IN1,NY1) - CY0906K",added_sugar_g
U006,Spinach,spinach cooked,168463,sr_legacy,"Spinach, cooked, boiled, drained, without salt",999.0,manual_override,,"168463 [sr_legacy] Spinach, cooked, boiled, drained, without salt || 169734 [sr_legacy] Noodles, egg, spinach, enriched, cooked || 170531 [sr_legacy] Spinach, cooked, boiled, drained, with salt || 170506 [sr_legacy] New zealand spinach, cooked, boiled, drained, with salt || 168441 [sr_legacy] New Zealand spinach, cooked, boiled, drained, without salt || 170505 [sr_legacy] Mustard spinach, (tendergreen), cooked, boiled, drained, with salt || 170124 [sr_legacy] Spinach, frozen, chopped or leaf, cooked, boiled, drained, with salt || 168439 [sr_legacy] Mustard spinach, (tendergreen), cooked, boiled, drained, without salt",added_sugar_g
U007,Tomato,tomato raw,170457,sr_legacy,"Tomatoes, red, ripe, raw, year round average",999.0,manual_override,,"170457 [sr_legacy] Tomatoes, red, ripe, raw, year round average || 170456 [sr_legacy] Tomatoes, green, raw || 170096 [sr_legacy] Tomatoes, yellow, raw || 170502 [sr_legacy] Tomatoes, orange, raw || 321360 [foundation] Tomatoes, grape, raw || 2709719 [survey] Tomatoes, raw || 170461 [sr_legacy] Tomato powder || 170501 [sr_legacy] Tomatoes, crushed, canned",added_sugar_g
U008,Banana,banana raw,173944,sr_legacy,"Bananas, raw",2.25,automatic_ranked_candidate,,"173944 [sr_legacy] Bananas, raw || 790774 [foundation] Bananas, overripe, raw || 1105073 [foundation] Bananas, overripe, raw || 790991 [foundation] Bananas, ripe and slightly ripe, raw || 1105314 [foundation] Bananas, ripe and slightly ripe, raw || 2709224 [survey] Banana, raw || 175230 [sr_legacy] SILK Banana-Strawberry soy yogurt || 173945 [sr_legacy] Bananas, dehydrated, or banana powder",added_sugar_g
U009,Apple,apple raw,171688,sr_legacy,"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",999.0,manual_override,,"171688 [sr_legacy] Apples, raw, with skin (Includes foods for USDA's Food Distribution Program) || 2709215 [survey] Apple, raw || 175032 [sr_legacy] Strudel, apple || 174988 [sr_legacy] Croissants, apple || 168816 [sr_legacy] Fruit butters, apple || 169601 [sr_legacy] Desserts, apple crisp, prepared-from-recipe || 174645 [sr_legacy] Cereals ready-to-eat, MALT-O-MEAL, Apple ZINGS || 171684 [sr_legacy] Cereals, QUAKER, oatmeal, REAL MEDLEYS, apple walnut, dry || 174997 [sr_legacy] Muffins, English, raisin-cinnamon (includes apple-cinnamon)",added_sugar_g
U010,Chicken breast,chicken breast cooked skinless,171140,sr_legacy,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",2.25,automatic_ranked_candidate,,"171140 [sr_legacy] Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised || 171534 [sr_legacy] Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, grilled || 171535 [sr_legacy] Chicken, broiler or fryers, breast, skinless, boneless, meat only, with added solution, cooked, braised || 171536 [sr_legacy] Chicken, broiler or fryers, breast, skinless, boneless, meat only, with added solution, cooked, grilled || 331960 [foundation] Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised || 331898 [foundation] Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised (IN,NY) - 17A-02-01 || 331911 [foundation] Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised (FL,MO) - 17A-02-05 || 331917 [foundation] Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised (MI,OK) - 17A-02-06",added_sugar_g
