food_id,name,fdc_id,source_database,source_dataset,source_data_type,source_food_name,publication_date,download_date,match_status,imputed_fields,gi_value,gi_status,notes
U001,Brown rice,169704,USDA FoodData Central,sr_legacy,sr_legacy_food,"Rice, brown, long-grain, cooked (Includes foods for USDA's Food Distribution Program)",2019-04-01,2026-05-26,manual_override_candidate,added_sugar_g,50,estimated_from_legacy_table,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U002,Oatmeal,173905,USDA FoodData Central,sr_legacy,sr_legacy_food,"Cereals, oats, regular and quick, unenriched, cooked with water (includes boiling and microwaving), without salt",2019-04-01,2026-05-26,manual_override_candidate,added_sugar_g,55,estimated_from_legacy_table,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U003,Whole wheat bread,172688,USDA FoodData Central,sr_legacy,sr_legacy_food,"Bread, whole-wheat, commercially prepared",2019-04-01,2026-05-26,manual_override_candidate,added_sugar_g,50,estimated_from_legacy_table,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U004,White rice,168882,USDA FoodData Central,sr_legacy,sr_legacy_food,"Rice, white, short-grain, enriched, cooked",2019-04-01,2026-05-26,automatic_candidate_needs_manual_review,fiber_g;added_sugar_g,83,estimated_from_legacy_table,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U005,Broccoli,169967,USDA FoodData Central,sr_legacy,sr_legacy_food,"Broccoli, cooked, boiled, drained, without salt",2019-04-01,2026-05-26,manual_override_candidate,added_sugar_g,15,category_proxy_nonstarchy_vegetable,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U006,Spinach,168463,USDA FoodData Central,sr_legacy,sr_legacy_food,"Spinach, cooked, boiled, drained, without salt",2019-04-01,2026-05-26,manual_override_candidate,added_sugar_g,15,category_proxy_nonstarchy_vegetable,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U007,Tomato,170457,USDA FoodData Central,sr_legacy,sr_legacy_food,"Tomatoes, red, ripe, raw, year round average",2019-04-01,2026-05-26,manual_override_candidate,added_sugar_g,15,category_proxy_nonstarchy_vegetable,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U008,Banana,173944,USDA FoodData Central,sr_legacy,sr_legacy_food,"Bananas, raw",2019-04-01,2026-05-26,automatic_candidate_needs_manual_review,added_sugar_g,51,estimated_from_legacy_table,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U009,Apple,171688,USDA FoodData Central,sr_legacy,sr_legacy_food,"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",2019-04-01,2026-05-26,manual_override_candidate,added_sugar_g,36,estimated_from_legacy_table,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U010,Chicken breast,171140,USDA FoodData Central,sr_legacy,sr_legacy_food,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",2019-04-01,2026-05-26,automatic_candidate_needs_manual_review,added_sugar_g,0,non_carbohydrate_food_proxy,Parallel USDA candidate dataset; legacy v2 table is unchanged.
