food_id,name,category,serving_size_g,energy_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sodium_mg,potassium_mg,phosphorus_mg,added_sugar_g,gi
U001,Brown rice,grain,150,184.5,4.11,38.37,1.455,2.4,6,129,154.5,0,50
U002,Oatmeal,grain,40,28.4,1.016,4.8,0.608,0.68,1.6,28,30.8,0,55
U003,Whole wheat bread,grain,60,151.2,7.47,25.626,2.1,3.6,273,152.4,127.2,0,50
U004,White rice,grain,150,195,3.54,43.095,0.285,0,0,39,49.5,0,83
U005,Broccoli,vegetable,100,35,2.38,7.18,0.41,3.3,41,293,67,0,15
U006,Spinach,vegetable,100,23,2.97,3.75,0.26,2.4,70,466,56,0,15
U007,Tomato,vegetable,120,21.6,1.056,4.668,0.24,1.44,6,284.4,28.8,0,15
U008,Banana,fruit,120,106.8,1.308,27.408,0.396,3.12,1.2,429.6,26.4,0,51
U009,Apple,fruit,150,78,0.39,20.715,0.255,3.6,1.5,160.5,16.5,0,36
U010,Chicken breast,protein,100,157,32.06,0,3.24,0,47,343,241,0,0
U011,Salmon,protein,100,154,25.82,0,4.83,0,64,550,363,0,0
U012,Tofu,protein,100,62,6.9,2.4,2.7,0.1,36,194,90,0,15
U013,Lentils cooked,legume,100,114,9.02,19.54,0.38,7.9,238,369,180,0,32
U014,Canned soup,processed,250,92.5,4.85,12.15,2.925,2.25,665,402.5,70,0,60
U015,Low-fat yogurt,dairy,170,107.1,8.925,11.968,2.635,0,119,397.8,244.8,0,35
U016,Quinoa cooked,grain,150,180,6.6,31.95,2.88,4.2,10.5,258,228,0,53
U017,Whole wheat pasta,grain,140,222.6,8.148,44.114,2.1,6.44,8.4,107.8,154,0,48
U018,Corn,grain,100,97,3.34,21.71,1.41,2.7,253,252,92,0,52
U019,Potato baked,vegetable,173,160.89,3.3908,37.2815,0.173,2.595,416.93,676.43,86.5,0,85
U020,Sweet potato baked,vegetable,130,117,2.613,26.923,0.195,4.29,46.8,617.5,70.2,0,61
U021,Kale,vegetable,100,44,2.94,5.3,1.21,2.3,252,144,42,0,15
U022,Carrot,vegetable,100,41,0.93,9.58,0.24,2.8,69,320,35,0,39
U023,Cucumber,vegetable,100,10,0.59,2.16,0.16,0.7,2,136,21,0,15
U024,Mushroom,vegetable,100,22,3.09,3.26,0.34,1,5,318,86,0,15
U025,Romaine lettuce,vegetable,85,14.45,1.0455,2.7965,0.255,1.785,6.8,209.95,25.5,0,15
U026,Orange,fruit,140,64.4,0.98,16.156,0.294,3.36,0,236.6,16.8,0,43
U027,Grapes,fruit,150,124.5,1.35,29.1,0.3,1.35,7.5,336,36,0,53
U028,Strawberries,fruit,150,48,1.005,11.52,0.45,3,1.5,229.5,36,0,40
U029,Avocado,fruit,100,120,2.23,7.82,10.06,5.6,2,351,40,0,15
U030,Orange juice,fruit,240,108,1.68,24.96,0.48,0.48,2.4,480,40.8,0,50
U031,Egg,protein,50,98,6.805,0.415,7.42,0,103.5,76,107.5,0,0
U032,Turkey breast,protein,100,147,30.13,0,2.08,0,99,249,230,0,0
U033,Lean beef,protein,100,154,27.58,0,4.06,0,56,321,202,0,0
U034,Pork tenderloin,protein,100,143,26.17,0,3.51,0,57,421,267,0,0
U035,Shrimp,protein,100,99,23.98,0.2,0.28,0,111,259,237,0,0
U036,Sardines canned,protein,100,208,24.62,0,11.45,0,307,397,490,0,0
U037,Milk low-fat,dairy,240,100.8,8.088,11.976,2.328,0,105.6,360,228,0,30
U038,Cheddar cheese,dairy,30,123,7.275,0.639,10.146,0,193.2,22.8,138,0,0
U039,Cottage cheese,dairy,113,91.53,11.8085,5.3788,2.5651,0,348.04,141.25,169.5,0,10
U040,Chickpeas cooked,legume,100,164,8.86,27.42,2.59,7.6,243,291,168,0,28
U041,Black beans cooked,legume,100,132,8.86,23.71,0.54,8.7,237,355,140,0,30
U042,Almonds,legume,28,0,6.0061,5.6097,14.3052,3.0184,0,205.184,140.812,0,15
U043,Peanut butter,legume,32,188.8,7.68,6.9856,15.968,2.112,64.96,239.04,101.44,0,14
U044,Ham,processed,85,99.45,16.184,1.343,3.2895,0,976.65,315.35,234.6,0,0
U045,Ramen noodles,processed,85,107.95,6.0605,11.8575,3.8845,0.765,283.05,81.6,67.15,0,70
U046,Pepperoni pizza,processed,140,414.4,18.088,38.066,21.014,2.1,992.6,326.2,336,0,60
U047,Salted crackers,processed,30,125.4,2.838,22.215,2.592,0.84,282.3,45.6,30.6,0,74
U048,Potato chips,processed,28,148.96,1.7892,15.0724,9.5144,0.868,147.56,334.88,42.84,0,56
U049,Soda,beverage,355,181.05,0,47.215,0,0,42.6,3.55,0,0,63
U050,Cookies,processed,45,221.4,2.295,29.412,11.124,0.9,139.95,76.95,49.05,0,70
U051,Chocolate cake,processed,80,242.4,4.064,34.624,10.592,1.84,309.6,93.6,176.8,0,60
U052,Sweetened cereal,grain,40,149.2,3.272,32.364,0.732,4,5.6,134.4,109.2,0,75
U053,Bagel,grain,100,264,10.56,52.38,1.32,1.6,422,107,99,0,72
U054,Tuna canned in water,protein,100,128,23.62,0,2.97,0,377,237,217,0,0
U055,Edamame,legume,100,140,11.54,8.63,7.58,5,127,422,164,0,18
