food_id,name,category,serving_size_g,energy_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sodium_mg,potassium_mg,phosphorus_mg,added_sugar_g,gi
F001,Brown rice,grain,150,174,3.9,38.9,1.4,1.8,3,65,77,0,50
F002,Oatmeal,grain,40,150,5.0,27.0,3.0,4.0,2,150,160,0,55
F003,Whole wheat bread,grain,60,148,5.1,27.5,2.0,4.0,240,150,120,2,50
F004,White rice,grain,150,195,3.6,42.9,0.3,0.6,2,55,43,0,83
F005,Broccoli,vegetable,100,35,2.4,7.2,0.4,3.3,41,316,66,0,15
F006,Spinach,vegetable,100,23,2.9,3.6,0.4,2.2,79,558,49,0,15
F007,Tomato,vegetable,120,22,1.1,4.7,0.2,1.4,6,284,29,0,15
F008,Banana,fruit,120,107,1.3,27.4,0.4,3.1,1,430,26,0,51
F009,Apple,fruit,150,78,0.4,20.7,0.3,3.6,2,161,17,0,36
F010,Chicken breast,protein,100,165,31.0,0.0,3.6,0.0,74,256,228,0,0
F011,Salmon,protein,100,208,20.4,0.0,13.4,0.0,59,363,252,0,0
F012,Tofu,protein,100,76,8.1,1.9,4.8,0.3,7,121,97,0,15
F013,Lentils cooked,legume,100,116,9.0,20.1,0.4,7.9,2,369,180,0,32
F014,Canned soup,processed,250,180,7.0,24.0,5.0,2.0,900,420,120,3,60
F015,Low-sodium yogurt,dairy,170,100,10.0,12.0,0.5,0.0,75,240,220,6,35
F016,Quinoa cooked,grain,150,180,6.6,31.8,2.9,4.2,10,258,229,0,53
F017,Whole wheat pasta,grain,140,174,7.5,37.2,0.8,5.9,4,96,126,0,48
F018,Corn,grain,100,96,3.4,21.0,1.5,2.4,1,218,89,0,52
F019,Potato baked,vegetable,173,161,4.3,36.6,0.2,3.8,17,926,121,0,85
F020,Sweet potato baked,vegetable,130,112,2.0,26.0,0.1,3.9,72,438,54,0,61
F021,Kale,vegetable,100,35,2.9,4.4,1.5,4.1,53,348,55,0,15
F022,Carrot,vegetable,100,41,0.9,9.6,0.2,2.8,69,320,35,0,39
F023,Cucumber,vegetable,100,15,0.7,3.6,0.1,0.5,2,147,24,0,15
F024,Mushroom,vegetable,100,22,3.1,3.3,0.3,1.0,5,318,86,0,15
F025,Romaine lettuce,vegetable,85,15,1.2,2.9,0.3,1.8,7,247,26,0,15
F026,Orange,fruit,140,69,1.3,17.6,0.2,3.1,0,237,20,0,43
F027,Grapes,fruit,150,104,1.1,27.3,0.2,1.4,3,288,30,0,53
F028,Strawberries,fruit,150,48,1.0,11.5,0.5,3.0,2,230,36,0,40
F029,Avocado,fruit,100,160,2.0,8.5,14.7,6.7,7,485,52,0,15
F030,Orange juice,fruit,240,112,1.7,25.8,0.5,0.5,2,496,42,0,50
F031,Egg,protein,50,72,6.3,0.4,4.8,0.0,71,69,99,0,0
F032,Turkey breast,protein,100,135,29.0,0.0,1.6,0.0,54,239,210,0,0
F033,Lean beef,protein,100,217,26.1,0.0,11.8,0.0,72,318,198,0,0
F034,Pork tenderloin,protein,100,143,26.0,0.0,3.5,0.0,57,421,246,0,0
F035,Shrimp,protein,100,99,24.0,0.2,0.3,0.0,111,259,237,0,0
F036,Sardines canned,protein,100,208,24.6,0.0,11.5,0.0,505,397,490,0,0
F037,Milk low-fat,dairy,240,122,8.1,12.0,4.8,0.0,107,366,232,0,30
F038,Cheddar cheese,dairy,30,121,7.0,0.4,10.0,0.0,190,28,145,0,0
F039,Cottage cheese,dairy,113,98,11.1,3.4,4.3,0.0,364,104,159,0,10
F040,Chickpeas cooked,legume,100,164,8.9,27.4,2.6,7.6,7,291,168,0,28
F041,Black beans cooked,legume,100,132,8.9,23.7,0.5,8.7,1,355,140,0,30
F042,Almonds,legume,28,164,6.0,6.1,14.2,3.5,0,208,136,0,15
F043,Peanut butter,legume,32,188,8.0,7.7,16.0,2.0,152,180,107,1,14
F044,Ham,processed,85,124,18.0,1.5,4.8,0.0,1050,260,180,1,0
F045,Instant noodles,processed,85,380,8.0,54.0,14.0,2.0,1500,180,120,2,70
F046,Pepperoni pizza,processed,140,390,16.0,38.0,19.0,2.0,900,250,280,4,60
F047,Salted crackers,processed,30,130,2.0,22.0,4.0,0.8,300,40,40,1,74
F048,Potato chips,processed,28,152,2.0,15.0,10.0,1.2,170,350,50,0,56
F049,Soda,beverage,355,150,0.0,39.0,0.0,0.0,35,0,0,39,63
F050,Cookies,processed,45,220,2.0,32.0,10.0,1.0,150,80,40,18,70
F051,Chocolate cake,processed,80,300,4.0,45.0,12.0,2.0,280,140,90,28,60
F052,Sugary cereal,grain,40,150,2.0,34.0,1.5,1.0,180,60,40,14,75
F053,Bagel,grain,100,270,10.0,53.0,1.5,2.0,450,105,100,5,72
F054,Tuna canned in water,protein,100,116,25.5,0.0,0.8,0.0,300,237,180,0,0
F055,Edamame,legume,100,121,11.9,8.9,5.2,5.2,6,436,169,0,18
